"OR","OU"
"If enabled, catagories will be indexed in Elasticsearch.","Si activé, les catégories seront indexées dans Elasticsearch."
"Enable in Search Results","Activer dans les résultats de recherche"
"If enabled, categories will also be displayed in left column of search results page.","Si activé, les catégories seront affichées dans la colonne de gauche de la page des résultats de recherche."
"If enabled, categories will also be searchable in autocomplete box.","Si activé, les catégories seront affichées dans l'autocomplétion."
"Search Results Limit","Nombre de résultats max."
"Limit number of results. Zero or empty means unlimited.","Limite le nombre de résultats affichés. Zéro ou vide signifie aucune limite."
"Show Category Path","Afficher le chemin des catégories"
"If enabled, category path will be displayed in search results.","Si activé, le chemin des catégories sera affiché dans les résultats de recherche."
"Searchable Attributes","Attributs à indexer"
"Define which attributes are searchable.","Définit quels attributs sont utilisés pour l'indexation."
"CMS","CMS"
"Enable CMS Search","Activer la recherche pour les pages CMS"
"If enabled, CMS pages will be indexed in Elasticsearch.","Si activé, les pages CMS seront indexées dans Elasticsearch."
"If enabled, CMS pages will also be displayed in right column of search results page.","Si activé, les pages CMS seront affichées dans la colonne de gauche de la page des résultats de recherche."
"If enabled, CMS pages will also be searchable in autocomplete box.","Si activé, les pages CMS seront affichées dans l'autocomplétion."
"Excluded Pages","Pages CMS exclues"
"Selected CMS pages will be excluded from search.","Les pages CMS sélectionnées seront ignorées de la recherche."
"Elasticsearch Index","Index Elasticsearch"
"Rebuild Elasticsearch index","Reconstruit l'index Elasticsearch"
